,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,No._x,Market Cap_x,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Price_y,Change_y,Volume_y,No._x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Price_x,Change_x,Volume_x,No._y,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price_y,Change_y,from Open,Gap,Volume_y
0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,41.38B,46.20,137.90,1.12%,1063541,1,41.38B,0.57%,9.40%,19.00%,10.00%,2.00,1.50,0.57,0.61,53.50%,19.70%,15.90%,May 25/a,137.90,1.12%,1063541,1,41.38B,46.20,29.94,4.28,7.11,8.72,29.99,40.41,-31.60%,11.34%,12.00%,10.80%,5.70%,137.90,1.12%,1063541,1,41.38B,304.00M,301.33M,0.30%,-14.96%,90.00%,-1.47%,0.73%,1.38,1.59M,137.90,1.12%,1063541,1,0.26%,3.40%,18.74%,20.36%,51.31%,16.38%,1.54%,1.70%,1.90,1.59M,0.67,137.90,1.12%,1063541,1,1.00,2.46,3.74%,4.57%,17.20%,-1.72%,64.74%,63.78,137.90,1.12%,0.15%,0.98%,1063541
1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,7.23B,-,38.84,0.31%,3352427,2,7.23B,-,-0.50%,-2.20%,2.40%,1.50,1.10,0.68,0.91,15.70%,5.50%,-0.80%,Apr 15/a,38.84,0.31%,3352427,2,7.23B,-,10.05,-,0.74,2.22,2.84,47.26,85.00%,-6.05%,28.00%,-,-3.70%,38.84,0.31%,3352427,2,7.23B,186.00M,184.91M,0.80%,-18.26%,81.40%,1.46%,5.50%,1.50,6.77M,38.84,0.31%,3352427,2,-0.44%,-4.33%,33.98%,73.63%,233.68%,68.50%,3.23%,5.06%,2.40,6.77M,0.49,38.84,0.31%,3352427,2,2.71,1.88,-0.03%,8.35%,65.68%,-12.56%,278.19%,53.76,38.84,0.31%,-1.04%,1.37%,3352427
2,3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,18.83,1.07%,294278,3,-,-,-,-,-,-,-,-,-,-,-,-,-,18.83,1.07%,294278,3,-,-,-,-,-,-,-,-,-,-,-,-,-,18.83,1.07%,294278,3,-,-,-,-,-,-,-,-,-,453.90K,18.83,1.07%,294278,3,-0.32%,5.91%,11.42%,3.46%,10.05%,-0.58%,0.62%,0.78%,-,453.90K,0.65,18.83,1.07%,294278,3,-,0.19,1.34%,5.15%,2.49%,-8.70%,12.99%,62.41,18.83,1.07%,0.27%,0.81%,294278
3,4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1.23B,59.57,9.77,-0.81%,53898,4,1.23B,-,-,-,-,11.00,11.00,0.00,0.00,-,-,-,-,9.77,-0.81%,53898,4,1.23B,59.57,-,-,-,1.30,1026.09,-,-,-,-,-,-,9.77,-0.81%,53898,4,1.23B,125.00M,100.00M,-,-,23.60%,381.43%,0.19%,0.64,304.57K,9.77,-0.81%,53898,4,-0.81%,-0.61%,-,-,-,-1.01%,0.76%,0.65%,-,304.57K,0.18,9.77,-0.81%,53898,4,-,0.07,-0.41%,-0.64%,-0.64%,-2.30%,2.84%,45.81,9.77,-0.81%,-0.91%,0.10%,53898
4,5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,102.71M,-,3.24,0.00%,238157,5,102.71M,-,-16.50%,-44.20%,-48.10%,0.40,0.40,0.00,0.03,40.00%,-63.50%,-58.00%,May 13/a,3.24,0.00%,238157,5,102.71M,-,-,-,3.94,3.38,6.89,-,40.00%,-,-36.60%,25.00%,-17.20%,3.24,0.00%,238157,5,102.71M,28.85M,8.74M,18.70%,0.00%,0.60%,62.29%,0.90%,0.19,407.75K,3.24,0.00%,238157,5,9.83%,6.93%,-20.59%,176.92%,276.74%,172.27%,6.97%,6.79%,-,407.75K,0.58,3.24,0.00%,238157,5,1.73,0.21,11.80%,-1.18%,35.51%,-83.59%,305.00%,57.35,3.24,0.00%,0.00%,0.00%,238157
5,6,AACQ,Artius Acquisition Inc.,Financial,Shell Companies,USA,901.99M,-,9.97,0.10%,1235431,6,901.99M,-,-1.80%,-2.00%,-,3.60,3.60,0.00,0.00,-,-,-,-,9.97,0.10%,1235431,6,901.99M,-,-,-,-,1.41,2254.96,-,-,-33.30%,-,-,-,9.97,0.10%,1235431,6,901.99M,90.56M,72.34M,0.10%,110.53%,71.50%,6.98%,0.96%,0.49,1.41M,9.97,0.10%,1235431,6,0.10%,-0.80%,-6.47%,0.20%,-,-6.21%,0.26%,0.61%,2.00,1.41M,0.88,9.97,0.10%,1235431,6,-,0.06,0.73%,-0.57%,-3.26%,-28.84%,4.13%,50.32,9.97,0.10%,0.20%,-0.10%,1235431
6,7,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,67.53,0.80%,1730,7,-,0.10%,-,-,-,-,-,-,-,-,-,-,-,67.53,0.80%,1730,7,-,-,-,-,-,-,-,-,-,-,-,-,-,67.53,0.80%,1730,7,-,-,-,-,-,-,-,-,-,4.09K,67.53,0.80%,1730,7,2.46%,3.03%,9.38%,15.56%,35.09%,10.91%,0.66%,1.07%,-,4.09K,0.42,67.53,0.80%,1730,7,-,0.94,3.38%,4.73%,11.20%,-0.58%,39.42%,60.01,67.53,0.80%,0.24%,0.55%,1730
7,8,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,134.32M,8.13,4.00,-0.25%,118881,8,134.32M,-,1.80%,8.50%,-,-,-,0.64,3.12,77.40%,-,41.20%,-,4.00,-0.25%,118881,8,134.32M,8.13,15.44,-,3.17,0.65,2.79,9.39,-743.40%,44.69%,7.90%,-,-,4.00,-0.25%,118881,8,134.32M,33.18M,32.49M,2.30%,2.66%,44.70%,6.78%,3.71%,5.60,215.37K,4.00,-0.25%,118881,8,-0.74%,-3.15%,-3.38%,19.40%,41.34%,5.82%,1.69%,2.42%,2.70,215.37K,0.55,4.00,-0.25%,118881,8,1.86,0.10,-0.88%,-1.03%,13.70%,-9.50%,68.07%,45.88,4.00,-0.25%,-0.99%,0.75%,118881
8,9,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,15.99B,-,24.30,-2.53%,28825118,9,15.99B,-,-12.20%,134.30%,-30.50%,1.00,0.90,-,-,35.80%,-71.60%,-61.50%,Apr 22/b,24.30,-2.53%,28825118,9,15.99B,-,-,-,1.25,-,1.14,-,-583.80%,98.10%,-29.60%,-,-15.80%,24.30,-2.53%,28825118,9,15.99B,641.38M,636.38M,1.00%,0.00%,52.40%,0.85%,13.28%,2.16,39.13M,24.30,-2.53%,28825118,9,-0.53%,12.66%,18.83%,63.53%,45.33%,54.09%,3.48%,3.70%,3.40,39.13M,0.74,24.30,-2.53%,28825118,9,1.83,0.87,5.50%,7.34%,40.59%,-6.86%,128.60%,57.59,24.30,-2.53%,-3.38%,0.88%,28825118
9,10,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,35.32M,0.59,16.98,-1.59%,1650,10,35.32M,-,-,-,-,4.00,4.00,-,-,-,-,-,May 18/b,16.98,-1.59%,1650,10,35.32M,0.59,-,-,-,-,0.30,-,-33.70%,-,-41.60%,-,-,16.98,-1.59%,1650,10,35.32M,1.84M,1.03M,5.80%,0.00%,27.90%,135.60%,0.35%,0.18,19.40K,16.98,-1.59%,1650,10,-1.16%,-1.85%,-26.33%,-25.67%,6.43%,-27.99%,2.76%,3.97%,-,19.40K,0.09,16.98,-1.59%,1650,10,0.70,0.74,-0.86%,-4.80%,-17.64%,-45.65%,35.73%,45.47,16.98,-1.59%,-2.64%,1.08%,1650
